name,n_components,max_sep_arcsec,lens_reff_arcsec,lens_axis_ratio,concentration,asymmetry,smoothness,clumpiness,gini,m20,arc_length_arcsec,arc_width_arcsec,arc_length_to_width,bg_rms_F115W,sb_peak_F115W,total_flux_F115W,bg_rms_F150W,sb_peak_F150W,total_flux_F150W,bg_rms_F277W,sb_peak_F277W,total_flux_F277W,bg_rms_F444W,sb_peak_F444W,total_flux_F444W,color_F115W_F444W,color_F115W_F277W,color_F150W_F444W,color_F277W_F444W
COSJ095846+020304,23,5.620200004719759,1.1070301746541888,0.720104709145669,3.4351453040644984,0.3565994991559946,0.4161690763312391,2.227841982380682,0.698292906639813,-1.8298968310931172,0.404223081566129,0.2240135032115813,1.8044585516987308,0.036734385252467375,8.376574516296387,1147.8876525294731,0.029655333434568432,16.004301071166992,1772.076231435205,0.01104695942494043,16.326457977294922,3081.875738073024,0.011786742250234046,9.931290626525879,2682.868368478361,0.9217499518746086,1.0722893488620298,0.4502924114802024,-0.1505393969874211
COSJ095847+015837,4,2.8010839504671274,0.6109411331917491,0.6835008922031333,2.7056411477949407,0.506886781480345,0.1974699893606497,1.1582940774880035,0.5379823333382637,-1.6858932265300002,0.23045200286956452,0.13490020624633348,1.7083146815116756,0.02254164017297877,1.0092356204986572,164.4256136866643,0.018199069897847232,1.1185885667800903,204.67603588440033,0.007000932672513458,1.1729423999786377,255.35887138568796,0.007877619751263215,1.0634589195251465,273.5076361953252,0.5524999616690224,0.4779536969035879,0.31475614762477905,0.07454626476543469
COSJ095852+020258,5,2.790944520432832,0.5902593518495278,0.9594479008118243,2.3384437653116343,0.2960853071288981,0.14218101974584946,0.9086873690110895,0.45792625123518554,-1.5009334226626796,0.23082635288718167,0.13954372225342054,1.6541507504578807,0.0364596460583002,0.773948073387146,281.52007479167514,0.02809113567818141,0.9661683440208435,319.8227096811661,0.009627909090349222,0.7545223832130432,366.50519905157853,0.010863740012482099,0.6320362687110901,332.36258639441803,0.18025690179036688,0.28642692622324306,0.0417570785712775,-0.10617002443287622
COSJ095853+020707,6,2.3531047708778656,0.6993955279162476,0.40487137387104977,3.6625411658120783,0.16594694628381032,0.4575627623000978,2.345724206235225,0.7679905220924926,-2.254249542961956,0.2576754099957798,0.07409548631906211,3.477612777736627,0.021300673067720655,1.6138198375701904,429.41960956814,0.01698036087820486,3.674956798553467,635.1063353221161,0.006378044716341626,11.262170791625977,1536.8878232843708,0.00758859747058647,11.469145774841309,1528.6391503214836,1.3785577636788182,1.384400742434975,0.9536463331593323,-0.005842978756156711
COSJ095855+015828,6,3.81804767883715,1.5660738125992881,0.6680774647507965,4.132326018835229,0.6088104643401074,0.36696574779785984,1.9460193138892186,0.6582023855225345,-2.4016404691038984,0.21673942559060128,0.12158273198562601,1.7826497402297643,0.025765458304024505,15.58352279663086,2685.320903954452,0.02253905299207739,22.666494369506836,3808.7395789129914,0.01870403893966553,25.38550567626953,6462.066696851049,0.013673259677981222,11.728352546691895,3723.5470811615232,0.3549016421718649,0.9534381088615682,-0.024561073631400608,-0.5985364666897033
COSJ095856+015821,7,3.3821581221721844,1.0877550617056486,0.6516090336644104,2.7537857911952224,0.8962927074981919,0.20948074949713386,1.4306605067160092,0.38086533766869274,-1.8042625109575685,0.12631130250868433,0.07232264707209625,1.7464972262805651,0.024275267742611958,0.7760509252548218,205.92453825266693,0.01963273226411906,1.1456629037857056,285.5451336605752,0.006978506531979565,1.3233040571212769,386.05255481014456,0.008045107262252191,1.6229937076568604,385.43567523198726,0.6806095221562074,0.6823458250799337,0.3256928662456157,-0.0017363029237263228
COSJ095857+020404,8,5.846881974563895,1.8418432051922904,0.5033843092765922,1.6340318601480905,1.9716536173464385,0.3348429676208074,1.9313714068199779,0.5594619672558592,-0.7002950551491848,0.11545690619440416,0.10692001657955995,1.0798436989437974,0.022466811449312583,1.593397855758667,452.2900946166694,0.018471970295838535,2.090362071990967,610.5897878509404,0.008192456807850683,2.1713829040527344,1039.140638799523,0.009520795685885427,2.386167526245117,1332.5809457953437,1.1731913063514454,0.9031431324991056,0.8473601567425355,0.27004817385233987
COSJ095857+021007,8,5.659910614223655,0.5154171003481103,0.5593213758404878,2.552843226512229,0.4841533772066988,0.1819571172023731,1.1413613696290537,0.5265929052805512,-1.5282785695679468,0.272276177469644,0.1980300432969264,1.374923587030645,0.022615739605663283,1.0526890754699707,344.0021676998508,0.018167940901987513,1.2054023742675781,388.98170995240434,0.0068788640651754164,1.1115597486495972,406.6090280597564,0.0077046644692532265,0.5215094089508057,217.68699067477792,-0.496821758926054,0.18153959481974963,-0.6302417636450351,-0.6783613537458038
COSJ095858+020529,9,5.280444428663849,1.3844724926669658,0.6394125283436022,4.39159703986875,0.8849554263619559,0.4527954818409742,2.4293694025101855,0.6696931078342966,-2.5211240362901592,0.20076020581974371,0.17611358038027647,1.1399473305025574,0.0363865514455348,6.781864643096924,1341.8522167111041,0.029151920852038382,13.537740707397461,2079.14278153162,0.01097379857405061,19.429548263549805,3259.940456279088,0.011937175656380172,11.422956466674805,1912.0604178150825,0.38449230787740923,0.9637624491682213,-0.09095675915767473,-0.579270141290812
COSJ095903+021139,6,4.351838242873436,0.6369381513945742,0.7082871575310097,2.0455758181958235,0.29610387970906593,0.1417264954305328,0.8317218128806708,0.5260637068501847,-1.2468641832482734,1.3243800578579086,0.5919048983282558,2.2374879167217845,0.035684993211098824,1.5651541948318481,804.2236570959403,0.028537576676933702,2.396291732788086,1067.798929340257,0.009237864528492701,2.961988687515259,1638.1098940643715,0.010751103195460751,1.3838436603546143,1304.48698989697,0.5251572697447991,0.7724154731121614,0.2173756775591297,-0.2472582033673623
COSJ095905+021026,6,5.401179640081142,0.7509959638142157,0.4616822483205749,3.1920447207600047,0.443423750501245,0.21211757436632503,1.2744233681627257,0.5119945732291259,-2.023304149716422,0.22236025882534957,0.15546335762851873,1.4303065507994601,0.03055010079604805,0.5399326086044312,229.3889934005927,0.025274345260297468,0.6825422048568726,291.9799368378517,0.00951062183249448,1.7911204099655151,376.11706811770637,0.010929100068381482,1.9346247911453247,397.4172583714535,0.5966853683929,0.5368761660670364,0.33473428178239456,0.05980920232586347
COSJ095908+020157,4,4.922368409230881,1.0806049104556832,0.9699548127233353,4.445355932391983,0.410254199014997,0.422405217350895,2.2340276892161417,0.6417006721611194,-2.521327434898429,0.15331939928418845,0.08406811081326025,1.8237521671535533,0.03449726786132899,8.836058616638184,954.845529875523,0.028970361560275146,12.887493133544922,1420.3507981897023,0.012466707151576599,16.657182693481445,2506.8161667695967,0.012923654669010255,10.565845489501953,2031.747808198932,0.8198417015930525,1.047973418936955,0.38868545062962495,-0.22813171734390242
COSJ095908+021435,9,6.121070428082018,0.7681278307951076,0.6774348664962131,2.3553893649387554,0.1931878541217212,0.1250443285809966,0.8525379923147766,0.4011569536558401,-1.7110676380986862,0.20061611662659956,0.1128481880040783,1.7777522189310595,0.025072515691926325,0.46030983328819275,221.77303929871414,0.0203244899651018,0.5286232829093933,257.0535671518228,0.0070798331957325255,0.39045026898384094,233.60745343471353,0.008064747456927463,0.21193023025989532,130.24324098805664,-0.5778838840287689,0.05644486713058963,-0.738171100669927,-0.6343287511593585
COSJ095908+021559,10,3.8509734080832443,0.7224627625296176,0.634604878888538,3.640327427616702,0.3615174263819788,0.4255347255357153,2.1878005517572614,0.7751994673780798,-2.3034091231342213,0.20930364066257126,0.15515030508510164,1.3490378929501037,0.03212109359950616,19.63363265991211,1577.3753974953943,0.026490059155870143,27.793697357177734,2106.5438408190093,0.011534321194985455,30.894224166870117,3467.1176576633006,0.012675533234978699,12.531646728515625,2007.5572642567204,0.2618321982277395,0.8550837925402193,-0.05225639970671652,-0.5932515943124796
COSJ095910+020058,5,3.4457745181333457,0.385750324051919,0.892249024184622,3.026572521653532,0.4706678789089843,0.2574480876063809,1.3808929873102702,0.6820772864922037,-2.0038547563525007,0.5785651548604492,0.42836887123949036,1.35062371172388,0.03333157848349048,3.3101487159729004,340.3403941031047,0.026042060348764676,5.567327976226807,474.92167439093464,0.010857852592087637,5.94585657119751,816.714199596443,0.012284060071306009,4.466689109802246,908.6164867849438,1.066167788433681,0.9503915224635031,0.7043965562639078,0.1157762659701779
COSJ095910+020937,5,4.446796202686462,0.6064161664491905,0.6926785694566097,2.719017649932523,0.42133290572921595,0.2333290260989933,1.3023216973192107,0.634324079080497,-1.8676406980856348,0.33020053485878254,0.21897246837496992,1.5079545721398406,0.03213695245971967,2.5255227088928223,483.355404839298,0.025697736761539625,3.050295114517212,537.2800212011953,0.010052712238002137,3.6882190704345703,731.7010884785996,0.011171104098733706,1.6506198644638062,530.897327507424,0.10185989986109277,0.45016780472529894,-0.012975381126546708,-0.34830790486420615
COSJ095910+021709,12,5.375845886051857,1.1837512231178375,0.8951877546711678,4.187575757061727,0.47881550732383626,0.47037984824723017,2.4442042636564834,0.7150752751558901,-2.410917862958149,0.3427976922453912,0.1991602585202979,1.7212153408128568,0.033175111222679736,40.943519592285156,4253.995487526566,0.029762454785180123,57.174415588378906,5845.888173036423,0.022098669651240445,37.13273620605469,7560.321119669825,0.016169144159650255,24.911958694458008,4618.841381508391,0.08934005810682016,0.6243580434534832,-0.255793638207066,-0.5350179853466631
COSJ095912+020033,7,4.156239834005848,0.7242740467361346,0.5458807068470779,2.2234852596002446,1.3327574932949517,0.1896936126743541,1.2441454892620698,0.41466400994552066,-1.127811857942405,0.16671280699127652,0.11113865015013132,1.500043475119349,0.031125145566032672,0.4628385603427887,133.94941848869712,0.02426703081080262,0.3965336084365845,145.05979084670253,0.008486340403241253,0.4792701005935669,166.11458098671574,0.009990565860638683,0.46236303448677063,176.9591990207191,0.3023307782594738,0.23366730624171853,0.21581524229510096,0.06866347201775516
COSJ095912+020656,2,2.164809609398986,1.2255550071207768,0.5516998743696426,2.8186545500931177,0.7055986110543864,0.2204032540815753,1.2453644598369968,0.5530705138510376,-1.6084016660362863,0.11563868256087396,0.10444537807681213,1.1071689785624592,0.033437630902801045,6.316537380218506,1880.3416217720269,0.026151962772399562,9.384899139404297,2420.9116192898327,0.009274583334581192,11.137961387634277,2952.4973825922934,0.010871103726941021,5.597653865814209,2157.5913144544757,0.1493310645202458,0.48988190481407506,-0.12502437422816742,-0.3405508402938293
COSJ095912+020750,9,5.059002837673531,1.0760035782429505,0.447120615287083,3.8865067851905866,0.8504187712301051,0.4312237119289899,2.2428646491572652,0.7404487029456295,-2.433719415123135,0.15603957621079267,0.059902886540409324,2.6048757451033917,0.034784519491347185,16.58812141418457,3156.9687255335375,0.03019335918618938,28.199583053588867,4612.440543345656,0.015729952061446107,34.697696685791016,6530.734679591842,0.015186165544941668,15.069841384887695,4374.967085612459,0.35426127610499897,0.7892294017631539,-0.05738997726960354,-0.43496812565815496
COSJ095912+020751,9,5.471387074950729,0.6444282612474217,0.9758130092783255,4.03613687329247,0.7129023448751398,0.37722256969204465,1.9726878799295038,0.645806869458097,-2.3432293732544975,0.29868586703326755,0.24199546922543735,1.2342622280874966,0.036904711289223034,16.58812141418457,3123.6974017142566,0.030493993094869214,28.199583053588867,4579.130040250813,0.014899357987602314,34.697696685791016,6487.069325041957,0.014232385006655834,15.069841384887695,4336.709497609658,0.3562284369356826,0.7934489569173936,-0.059056614706406725,-0.4372205199817111
COSJ095913+015448,8,6.147508369148063,0.8882205596472954,0.7553894744401729,2.584450824216931,1.5565917519461165,0.20551291432897417,1.2619681421401254,0.4621964767169962,-1.606662750067653,1.0879939294932015,0.8686655175747019,1.2524889125688567,0.03547045439454015,1.3603891134262085,538.6131542573576,0.027916540383508624,1.4909533262252808,623.2485412289006,0.010064297156149852,1.3418960571289062,730.5768666746153,0.01126327264541165,1.0296045541763306,599.529760459347,0.11633447615175747,0.3309724016185015,-0.04212631116447778,-0.21463792546674407
COSJ095913+021702,4,6.0139640413735265,0.563982630958085,0.6982829422314388,2.573018573736938,0.8322016022843833,0.22966589240743476,1.3462953028879532,0.5392159132694411,-1.2334694119835965,0.20439299147126994,0.14473098450110905,1.4122269130954728,0.03327800818953735,2.704880475997925,176.28404218253547,0.02600984077699953,2.501538038253784,209.28050823914236,0.008661666406102088,1.237685203552246,217.6727149710132,0.010625394317991928,1.2274936437606812,236.0118770056688,0.31680214638480375,0.22897748457836667,0.13051269379971137,0.08782466180643697
COSJ095914+015947,8,5.067572013993989,0.865320116512176,0.43596144097712847,3.254946021686798,0.36500103622335267,0.4265961406609688,2.2272249941030426,0.7053054157095944,-2.0832364907673813,0.17917388972649845,0.14545106920725148,1.2318499320977538,0.03428833937809451,3.6027393341064453,760.7393741939177,0.02653711357725177,6.0065789222717285,1144.8474972145923,0.007015221869278713,7.81046199798584,1800.1194560852819,0.008199175983600603,3.8857314586639404,1235.5989214158617,0.5266040639028994,0.9351635772932363,0.08282470367829545,-0.4085595133903368
COSJ095914+021219,20,4.858913279850029,1.0906956199153326,0.8185597012274844,3.8972706528683796,0.9142522702118495,0.36307718930209376,1.944063890302055,0.6760555228011433,-2.353083162665754,0.3765413403990497,0.30845467725821235,1.2207347405007605,0.03520274378545816,3.464608907699585,1799.6896645641118,0.02748442428683066,7.751359939575195,2407.8791712470434,0.013764571409007421,13.366206169128418,3412.980697288178,0.014494453215751062,12.435689926147461,3260.8879563332885,0.6453456355200629,0.6948405237547611,0.3292529669393074,-0.049494888234698185
COSJ095914+021358,8,4.906714609231824,0.664187869404637,0.9089987348936991,3.4287828048218794,0.41827847307072596,0.2680075719129454,1.4209536934735236,0.6683832397330881,-2.1860084594908664,0.30903570650352613,0.22206480021622718,1.3916465203067498,0.022957858632317675,3.7875216007232666,359.35439155055064,0.018567435439654757,5.927664279937744,532.459913101935,0.007712916819236829,7.016786575317383,997.0300959874003,0.00868994346321911,5.278841972351074,985.7457741669932,1.09560491840295,1.1079632784272988,0.6686950175161128,-0.012358360024348768
COSJ095916+021850,7,6.126558904952777,0.49793414045024864,0.950704775521539,2.167446241207368,0.3788509619881614,0.15311713534089608,0.9576511628453718,0.4617158068886392,-1.248789765885962,0.2465023992625415,0.1649234181405554,1.4946476494469738,0.03596210725614062,0.7984619736671448,152.36358171791653,0.0277690591302007,0.8936732411384583,174.82256342060282,0.008629392134139565,0.6488828063011169,178.57930371213297,0.010618952595077473,4.820639133453369,182.8707808711115,0.1981578649699941,0.17237487981369956,0.048867088406745945,0.025782985156294444
COSJ095916+022021,1,0.0,2.0585381457637886,0.3044770742966763,3.85034033377956,0.45061901722909625,0.34729760190734643,1.8905103713339553,0.6446149523080514,-1.6106773310297176,,,,0.029910781497970794,12.652871131896973,3700.133102087093,0.03138618874636489,11.443934440612793,6251.397481242195,0.03344756949768604,20.718402862548828,10895.221517867874,0.02018610785181645,11.276663780212402,6072.791532208212,0.5379275648775985,1.1725467942557506,-0.031471851465855724,-0.6346192293781519
COSJ095917+015424,18,5.948287622686509,0.7395373340610019,0.8878720142427531,3.388566719003399,1.992137741598379,0.3264328292064618,1.7209325606464472,0.6665219177820567,-1.9808881584547495,0.9561879506306671,0.6779110630501196,1.4104917337216751,0.0359363525665776,6.566413879394531,1528.0433016496117,0.02859284228665093,9.889958381652832,2080.1053218769225,0.009818024001214098,11.287799835205078,3407.3420492050354,0.010953658892013175,11.465278625488281,3894.723482211404,1.0158524190017095,0.8707001784326027,0.6809782597700145,0.14515224056910686
COSJ095917+020626,3,2.8435885108488455,0.447691477039323,0.5086143522535401,2.826253133499974,0.6354747311406188,0.23452012735170444,1.3373379070766545,0.5915708570052921,-1.8449403969782576,0.16452703822202006,0.15139183465649558,1.0867629591472217,0.03589458054068565,7.697154521942139,190.71374122154066,0.027509640877399412,9.904048919677734,218.0345065395286,0.008323903004804064,1.9269194602966309,216.51577066929894,0.010032462423968826,1.306357979774475,219.0012487352942,0.1501615135222115,0.13776887351191544,0.004803399730737389,0.012392640010296082
COSJ095917+021629,4,5.006419702645577,0.8200431570112845,0.6422808529723061,2.722613952421313,0.7045595963868589,0.1975742043800761,1.3601232742621852,0.4043922143924298,-1.7511155474003133,0.3307613587357033,0.29059917131239493,1.1382047555123063,0.029773231522966973,0.43214699625968933,214.69084801811732,0.024166978687361847,0.6453470587730408,277.43775477747477,0.009183188130149969,0.7553877830505371,348.13193565560505,0.010717370837042791,0.6024883985519409,326.68918393690547,0.45580306150038,0.5248258334764696,0.17742298712383403,-0.06902277197608957
COSJ095917+021725,8,5.4952681723002295,0.6165568422167804,0.873395093273481,3.485927400702882,0.19497629654355536,0.2815755163866632,1.518233688749344,0.6322077041344086,-2.197121628077496,0.42257566235922117,0.21681972923652368,1.9489723737190128,0.020876096995241376,2.7754366397857666,240.52958555991427,0.016125122351099933,3.7542126178741455,315.24139185744275,0.0058033015045921696,3.9410276412963867,495.7277413388074,0.006977523679060358,2.4994819164276123,405.98049187153447,0.5683416560820309,0.7851868002269862,0.2746548226737945,-0.21684514414495543
COSJ095918+021939,10,4.973036394078692,1.0784148417418211,0.3706707309579729,3.343905239200567,0.8694656626194052,0.2996801115407104,1.730544232391825,0.5674832004767268,-1.452040688862347,0.15800070949683134,0.11088686150885425,1.4248821487675984,0.026586143064474113,0.8065608739852905,127.96066130884935,0.021253527301616174,1.5272291898727417,256.8020557892323,0.007900936996720396,2.243342638015747,554.0550740686886,0.010213436436733973,3.106205701828003,811.5381810625549,2.005581203377154,1.5911911516140622,1.2492761528552156,0.4143900517630919
COSJ095920+015851,18,5.585091805581002,1.310616411867818,0.7536747059781048,3.737670132335142,1.6948932547639295,0.3741670392492894,1.9665019751318342,0.690455175202168,-2.2625784917598204,0.14187083584054813,0.06871633566190317,2.0645867459897507,0.023170195388951223,6.116600513458252,1161.618364639621,0.01927165484167585,9.589140892028809,1793.2323810800117,0.011367068629754777,15.309779167175293,3729.4313369658776,0.011343305625574436,12.156781196594238,3495.6891688916367,1.1961733487611785,1.266447865772569,0.7247405910517747,-0.07027451701139065
COSJ095920+020558,7,4.476381401550953,0.09926446529515016,0.5305750742652339,1.8604455517326612,1.9999999999999996,0.0,0.0,0.05099229548460695,-0.7276492650837119,0.8010134287608486,0.5298864132210805,1.5116700650836423,0.03130533027173864,0.8029987812042236,200.25610416586574,0.024797171799426813,1.5249539613723755,347.7696453829749,0.009071603639238044,4.389327526092529,892.5731542731519,0.010632380717591565,4.996777534484863,1025.8125495481945,1.7737056119601904,1.6226451437174128,1.1744408383028346,0.1510604682427779
COSJ095920+022515,7,4.982048214222929,1.6066547953674577,0.2131111119069218,3.5023192898891535,0.5251695407343294,0.42925117880548763,2.308495720025862,0.6147309929571178,-1.8269842598544441,0.20752315735444604,0.1555889639553728,1.3337909841341278,0.03775124262554686,0.7342540621757507,781.784871618911,0.028877259286670908,1.6769540309906006,1251.5750785782411,0.010685438164214538,4.929661750793457,3135.788006665185,0.012034349698351675,3.8355824947357178,2494.2832350750687,1.2596462639371158,1.508148581598093,0.7487221520431973,-0.2485023176609772
COSJ095921+020218,6,3.3244153691332348,0.930807402620692,0.7945785640621009,3.923509949311052,1.760223567718556,0.38722465255659744,2.048362088698421,0.6866986642173625,-2.3161914172676243,0.21485872230441264,0.13364835559584565,1.6076420944089143,0.022813649109478282,5.6049275398254395,652.3807089012371,0.018522567838044648,8.90087890625,988.3733067608215,0.007540284127630291,10.995534896850586,1776.043356937298,0.008803371678792872,9.195011138916016,1965.776730017038,1.1975826986065528,1.0873811331833791,0.7465329549690705,0.11020156542317358
