name,n_components,max_sep_arcsec,lens_reff_arcsec,lens_axis_ratio,concentration,asymmetry,smoothness,clumpiness,gini,m20,arc_length_arcsec,arc_width_arcsec,arc_length_to_width,bg_rms_F115W,sb_peak_F115W,total_flux_F115W,bg_rms_F150W,sb_peak_F150W,total_flux_F150W,bg_rms_F277W,sb_peak_F277W,total_flux_F277W,bg_rms_F444W,sb_peak_F444W,total_flux_F444W,color_F115W_F444W,color_F115W_F277W,color_F150W_F444W,color_F277W_F444W,theta_E,lens_redshift,source_redshift
galgen_all_smoke_interm_PRISM_lens_BR_000000,7,2.947403787994765,0.9690470158616731,0.4518912156642961,1.4560319271636268,1.8653572141579864,0.43945078987366043,2.3972884334899653,0.6338282678958485,-0.9469103743840402,0.12096670353531205,0.0708119822969501,1.708280147108975,0.02826071876906045,3.5141921043395996,476.55670564313186,0.022595406735836775,6.135665416717529,825.4576534027001,0.010987099312500685,5.337680816650391,749.520686996635,0.013244212359362215,3.659200429916382,574.8131890358782,0.20353034881890178,0.49167259778048616,-0.3929201852844364,-0.28814224896158447,0.798302337436422,1.3694562759840858,5.368697662298366
galgen_all_smoke_interm_PRISM_lens_SF_000001,1,0.0,0.8358927626994836,0.80210863971299,3.725109554255312,0.5896062552070881,0.4646404785180948,2.5848424544108055,0.5352474607961585,-2.126388891857294,,,,0.02198070807901834,2.934770345687866,344.74607213330455,0.028298527341422793,3.811099052429199,545.9191616280004,0.013702342276883273,3.456019401550293,397.898831443832,0.012798557084361686,3.4870097637176514,389.1741140476661,0.13161154670056346,0.15568334241436899,-0.36746098195888566,-0.024071795713805594,0.7971780873933649,1.3767434962471623,5.472148259580671
galgen_all_smoke_v2_PRISM_lens_BR_000001,9,4.3813461474354565,1.6348780738420365,0.45079678255790157,1.7654277448893811,1.7324226378456262,0.5271198576845297,2.723719124516801,0.7154443685294799,-1.0763429884866809,0.1788786509062398,0.10883867177503655,1.6435210756335945,0.032627987668017056,22.179800033569336,6479.630820797465,0.029833045434470188,30.790199279785156,7866.569920748778,0.02229004659418676,34.33675003051758,12323.614527018348,0.018790763314286796,20.378355026245117,6634.147242174309,0.02558710945173284,0.6979696074241438,-0.18500075223687792,-0.6723824979724109,1.4316516782505977,1.3649493722790949,5.717265186791541
galgen_all_smoke_v2_PRISM_lens_BR_000003,8,3.50837310194884,1.643531375390515,0.5755969092898484,4.081131946869084,1.3271146345305187,0.65226255328013,3.5267118162952387,0.7412996792305486,-2.1326534159276647,0.6906387374033098,0.20913299615899303,3.302390106237721,0.02787824465471284,13.417091369628906,3073.196465027002,0.032869027042218724,18.788908004760742,4668.407003732951,0.023965648829164972,33.80459213256836,7806.343575247563,0.025653988641026054,29.485517501831055,5704.020840543904,0.6714769466133985,1.0121433417652372,0.21753097919062378,-0.3406663951518388,1.5495998144113357,1.378997370520428,5.52242730096505
galgen_all_smoke_v2_PRISM_lens_BR_000004,3,4.068204358226294,2.4693459937165283,0.22625671839443115,2.1311167052004434,1.6927615840998524,0.5931634379423766,3.17202421747658,0.6876278540261082,-1.1191297012404466,0.14857800237492885,0.0839771544896835,1.7692669307243734,0.045225256262142376,13.366873741149902,4878.704194691862,0.03548637531472915,28.85004425048828,10197.12807947956,0.030428413881618103,24.981538772583008,10664.846679429524,0.026124443456093542,16.694068908691406,7962.2752913715085,0.5318317555304736,0.849125323771676,-0.26860171305472463,-0.31729356824120253,1.6805031174889173,1.3117999220954766,5.532357000775074
galgen_all_smoke_v2_PRISM_lens_GR_000002,7,4.456942703013973,1.3964419230781089,0.5877033249934912,3.4495111611135427,1.3715075742484781,0.676220581380208,3.559039443105278,0.762625840402398,-1.7377534175872584,1.0027283295661835,0.20484728678788042,4.8950042018594555,0.02462556922447441,36.07606506347656,5173.190658106614,0.028141991533655993,64.97740173339844,9471.800178845413,0.01859028685838724,64.5923843383789,8601.938500305172,0.019646527312046167,44.5211296081543,5336.66386934802,0.03377841228645238,0.5520946214822944,-0.6229066946435895,-0.518316209195842,1.8963041665740785,1.383501629073561,5.606626195039991
galgen_all_smoke_v2_PRISM_lens_SF_epoch00_000000,4,4.075775506046138,1.85334970123369,0.822119193660171,3.5795657081922014,0.9657623329535155,0.7355433436762552,3.7665698148918714,0.6772686759145308,-1.040284179409763,0.1383426730272312,0.1138380666362985,1.215258455409494,0.056341362882098414,12.221443176269531,5420.7711025056415,0.030207551567072742,29.517126083374023,14577.658340656315,0.015384985506179616,23.39275360107422,12108.68642116338,0.012844379033562569,27.824337005615234,9469.70540662462,0.6056884989607534,0.8725899081542132,-0.46837824659381655,-0.26690140919345984,1.414527004690329,1.4053118537438734,5.457725019763999
galgen_all_smoke_v2_PRISM_lens_SF_epoch01_000000,1,0.0,1.930735874490092,0.8720313003560218,3.3912064770261963,1.095826609745836,0.7481661489591895,3.8307408992949057,0.6745562575568385,-0.9608869510734694,,,,0.057338043920618836,14.453439712524414,6363.048238623363,0.03019811818846948,36.757789611816406,17040.128228304704,0.016194501554943622,26.666894912719727,13993.11438397877,0.01338744090405938,35.09237289428711,10509.102099099953,0.5447509892512313,0.8556229213571759,-0.5247681179580739,-0.3108719321059445,1.414527004690329,1.4053118537438734,5.457725019763999
galgen_all_smoke_v2_PRISM_lens_SF_epoch02_000000,3,2.0870422772513604,1.7920379954458863,0.8199916708557752,3.8047560862262895,0.8725038671275059,0.7081469437648953,3.626779602595161,0.6776061757287665,-1.2301571772564481,0.13221877784724959,0.08774918758428747,1.5067806493393099,0.05658171052188137,12.043563842773438,4818.039158176616,0.030094253326983844,29.649072647094727,12922.426840056432,0.014918965381761344,23.422685623168945,10677.11298697209,0.012627008902331389,27.795408248901367,8721.188634136022,0.6442633868948815,0.8639587828950247,-0.42692100494362867,-0.2196953960001433,1.414527004690329,1.4053118537438734,5.457725019763999
galgen_all_smoke_v2_PRISM_lens_SF_epoch03_000000,1,0.0,1.726690323787464,0.8250441750410757,4.079278596449623,0.8393451623350826,0.6866988364880711,3.5282114919044063,0.679018757650785,-1.7149663952339056,,,,0.05674001595856032,14.633440971374512,4322.869046668988,0.030092420337157085,36.695030212402344,11717.495507411251,0.01466428591028212,27.818721771240234,9524.6083343524,0.012747942139124491,35.02888488769531,8114.521592734469,0.6837271016613016,0.8576876157866886,-0.39892968857884625,-0.17396051412538707,1.414527004690329,1.4053118537438734,5.457725019763999
galgen_all_smoke_v2_PRISM_nonlens_000000,7,5.626668639882476,2.1912043362233797,0.5154038195268754,3.38646906406531,0.7320806429747634,0.3176580942201046,1.7546125403473651,0.549716638441634,-1.1375267151636168,0.14333157992402115,0.13335557982531543,1.0748075192037216,0.05209924448354602,13.4517183303833,6947.111028619111,0.048997690685543195,13.101478576660156,7979.4770352151245,0.05327846502782162,17.504926681518555,10327.599113877863,0.04176800279408919,15.189485549926758,9306.264503344893,0.3174278802636968,0.43048782942888086,0.16700240686981416,-0.11305994916518419,0.0,0.0,0.0
galgen_all_smoke_v2_PRISM_nonlens_000001,11,5.216106032016931,1.479445105054666,0.5647158191200883,2.194792757641782,1.7509494077007683,0.15777608502624932,1.0447309670324636,0.44066517015428097,-1.259614693240581,0.2617170350339429,0.2230042396742574,1.1735966787727146,0.03360753052101442,6.331607818603516,1113.1020703106187,0.032057195261702885,6.211315155029297,1322.1396811902523,0.020660957514375515,13.344141006469727,2325.6946406494826,0.01992375266756969,7.906160831451416,1746.6272553559393,0.48916310583702555,0.8000442539177925,0.30230723251859987,-0.31088114808076706,0.0,0.0,0.0
galgen_all_smoke_v3_PRISM_lens_BR_000000,5,3.941321015994223,1.5599329420353567,0.3593134348218903,1.7581689555412539,1.815967961001062,0.46835263356043405,2.5015919186735474,0.6539865000132346,-0.9302732664981236,0.19058657931674675,0.09661467419595338,1.9726462972922731,0.029551323272103597,4.754312992095947,1259.0548952352256,0.023690876009221342,9.3602294921875,2517.258821826894,0.011873073671325283,7.585637092590332,2039.6328098836238,0.014081034205420367,5.854426860809326,1664.0184824433527,0.30278369956859946,0.5237683089369201,-0.4494243144817406,-0.22098460936832057,1.4498978400243785,1.3694562759840858,4.256838719178229
galgen_all_smoke_v3_PRISM_lens_BR_000002,2,0.26031913885463187,1.6955964127925918,0.3963637848091986,1.6920980175325337,1.9798396861023162,0.5610673795250898,3.13217715436791,0.6354108788437339,-1.0512584416106674,0.15107456412861142,0.10345897842720102,1.4602363799185891,0.025933044516446273,4.10869836807251,721.5872513658833,0.026230240180717436,10.812830924987793,1524.0539055776899,0.018507694419465256,9.000893592834473,1474.0727891912684,0.014292360140604516,5.886372089385986,956.3021712645423,0.3057657253124448,0.7755751941270793,-0.5060129659435992,-0.4698094688146345,1.3627278204936895,1.3810819380076311,4.339071660241438
