match_rank,real_name,sim_lens_id,sim_filename_base,match_score,theta_e_sim,z_lens_sim,z_source_sim,mag_sim
2,COSJ100120+022426,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100120+022426,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100120+022435,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100120+022435,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100120+022435,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100121+020944,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100121+020944,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100121+020944,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100121+022213,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100121+022213,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100121+022213,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100121+022740,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100121+022740,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100121+022740,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100122+015013,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100122+015013,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100122+015013,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100122+022132,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100122+022132,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100122+022132,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100122+022144,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100122+022144,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100122+022144,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100123+015608,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100123+015608,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100123+015608,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100123+022005,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100123+022005,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100123+022005,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100124+021640,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100124+021640,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100124+021640,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100124+022027,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100124+022027,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100124+022027,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100124+022319,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100124+022319,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100124+022319,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100125+020326,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100125+020326,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100125+020326,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100127+022709,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100127+022709,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100127+022709,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100128+021853,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100128+021853,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100128+021853,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100128+021951,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100128+021951,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100128+021951,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100128+022502,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100128+022502,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
