name,n_components,max_sep_arcsec,lens_reff_arcsec,lens_axis_ratio,arc_length_arcsec,arc_width_arcsec,arc_length_to_width,bg_rms_F115W,sb_peak_F115W,total_flux_F115W,bg_rms_F150W,sb_peak_F150W,total_flux_F150W,bg_rms_F277W,sb_peak_F277W,total_flux_F277W,bg_rms_F444W,sb_peak_F444W,total_flux_F444W,color_F115W_F444W,color_F115W_F277W,color_F150W_F444W,color_F277W_F444W,theta_E,lens_redshift,source_redshift
PRISM_lens_BR_000002,3,5.033955200482019,1.6182438249091065,0.6790218437613639,0.36690547576541843,0.2732160823130417,1.3429131720914973,0.1077022827557941,28.624736785888672,17123.09406823106,0.03304645798352278,28.52813148498535,12629.73489142023,0.03067915988355013,28.60329246520996,18261.44626623951,0.027263790919334067,28.382835388183594,13539.851017143577,-0.25492089209286467,0.06988231794683922,0.07554912814558354,-0.3248032100397038,0.5150480814720997,1.246855466313974,2.801959042601394
PRISM_lens_BR_000004,4,4.110704698883178,1.3707183142013397,0.5482999221790276,0.16729090269847022,0.14758062419851534,1.1335560044348503,0.03511898376874231,5.904273986816406,1311.1438739807345,0.040257836083811234,11.044468879699707,2338.4271938288584,0.016563715089612314,14.578431129455566,3116.8312521320768,0.01228643072691174,6.811655044555664,1829.2292206462007,0.3615444503923368,0.94015734922351,-0.2666393063134772,-0.5786128988311733,0.5468804240562559,0.9248955034509955,5.300448642427506
PRISM_lens_BR_000008,3,4.596453271418339,3.026670497667176,0.1848525419409302,0.507609025631862,0.18431449875831898,2.7540374145902686,0.048950698179139565,27.73295783996582,8841.475458106026,0.0500092196983634,28.6063289642334,16249.845577435568,0.04980474460095213,28.57240104675293,16937.334216102958,0.055217715676199444,28.313356399536133,15940.933115173131,0.6399724845293093,0.7058007789191878,-0.02083874662530027,-0.06582829438987839,1.485208498514095,0.9583687842348753,4.564121297538176
PRISM_lens_BR_000009,2,1.6845830377013624,1.6341348232569985,0.46929457173358036,0.08927875301093151,0.057019186424178046,1.5657668691862345,0.04315810106528836,28.45220184326172,16125.232351348735,0.038364852484474764,28.579008102416992,15914.04915189743,0.023922410513892996,28.4134578704834,13104.134894448332,0.036777960335894457,28.444252014160156,18436.394223550335,0.14542501211913916,-0.22524406524062693,0.159738227360067,0.37066907735976595,1.0468848503606047,1.0030987953326909,4.6615637162047285
PRISM_lens_BR_000010,7,4.030825470796859,2.21137339362322,0.3608886471621617,0.1851543169672137,0.07312280149467437,2.532100975106906,0.035197135928154905,5.560683727264404,1129.836261760909,0.02961795383671372,4.666727542877197,1192.4046886526048,0.019779691669461977,6.81335973739624,2910.2122607454658,0.019170075406355166,6.814724445343018,2228.190839741379,0.7373421882591638,1.0272728922271805,0.6788217735702486,-0.289930703968017,3.7668076317202037,0.7468345683879571,3.640380426425402
PRISM_lens_BR_000012,6,4.455428575784505,0.8594195676063972,0.376522411204752,1.1114811835721572,0.23068686778674324,4.818138085778068,0.026128507218258167,3.661074638366699,827.5249108225107,0.024951893810028474,3.752159357070923,633.791870336514,0.044356299990578454,9.339390754699707,1631.9632426332682,0.008852525083152318,4.963155269622803,882.1315856566653,0.06938074150798618,0.7373232415267446,0.3589667713657824,-0.6679425000187583,1.155584282914713,0.5441775620143061,3.699052885848739
PRISM_lens_BR_000014,4,3.7840840167214935,1.1334898837244496,0.8045468166703205,0.41299216752706475,0.30305628602227636,1.3627573047493478,0.0443648659163504,18.00313377380371,5831.670964438468,0.0387661447161825,11.422447204589844,2959.735387290828,0.025317866880531423,28.279382705688477,5420.805284906179,0.02341279233022966,22.6608829498291,4171.531555010006,-0.36374369766291703,-0.07932301110054447,0.3726066201080609,-0.2844206865623726,2.2611571346244617,0.40217939547129267,3.415599263987154
PRISM_lens_BR_000015,3,3.825938600066662,1.2487793930062692,0.6649893117853443,0.25364027116033916,0.20864655325220174,1.2156456323232487,0.03133712151744762,9.08289909362793,2787.3643345749006,0.02560146292697866,11.909071922302246,2176.164810733404,0.022732013250651804,23.235843658447266,6059.002559442073,0.018560308941583947,12.677275657653809,3100.2086317017674,0.1154929558391546,0.8430184929473954,0.3842478444119052,-0.7275255371082407,1.6643359494298513,0.38482564788427415,3.508701152355221
PRISM_lens_BR_000018,1,0.0,0.8596843420511833,0.6221716256586902,,,,0.02469643657963393,5.3204522132873535,1375.8004529904574,0.019699937203686655,2.9116387367248535,680.4005290030036,0.04635742661433599,8.54919147491455,1600.87094659172,0.009096710565134582,6.175140857696533,1531.278699817136,0.11624698348063911,0.1645021869774112,0.8807239972515983,-0.04825520349677223,0.3,1.7063442704505842,2.1207132244533544
PRISM_lens_BR_000022,3,3.023352398661396,0.5751281837934267,0.7992214888833536,0.7864427006932769,0.5168958752402817,1.5214721926881212,0.031902689882231605,1.5473411083221436,371.80696196947247,0.02544854283195914,3.7851505279541016,578.2336837775074,0.010679289652588936,5.894682884216309,809.1883413023315,0.011778708910381108,2.421816110610962,543.7610798547976,0.412726504598468,0.8443302483383285,-0.06673816898937644,-0.4316037437398603,2.0002810794110477,0.3364290564379037,2.414721490698637
PRISM_lens_BR_000025,5,2.639062561551961,1.5437694822965402,0.5865418188205473,0.1485589645081911,0.052153756584645,2.8484806126492814,0.022324006890241388,21.852249145507812,4695.107765092631,0.029324118498086485,17.815366744995117,4145.93058380438,0.0110191283157334,28.049306869506836,4831.103249754757,0.01059543609861396,26.365331649780273,6822.9370751841925,0.40581450270181924,0.031001885889572926,0.5408733491643563,0.3748126168122462,1.2368064158908236,2.459730101270047,2.9291409060814604
PRISM_lens_BR_000026,2,1.5742673271409202,1.0241925531210723,0.8788932199383241,0.08902557537406626,0.07461365636929662,1.1931539038033272,0.0375522199624055,25.385955810546875,3108.4127913946286,0.026385364562318697,22.80916404724121,2071.2377229384147,0.010048900746083065,28.05310821533203,3968.000371553004,0.01779161199850986,24.813385009765625,2675.1952297175303,-0.16295801526517664,0.265082541740399,0.2778138353741821,-0.4280405570055757,0.5098236186827354,0.6206800187610143,6.086953915784506
PRISM_lens_BR_000030,3,4.052705663768445,1.572769547266169,0.42275562448192494,0.19572829668848807,0.16171197287052158,1.2103513006127409,0.026245269606246277,4.484631538391113,901.1793650306645,0.0196492373482895,5.718867778778076,1227.903745545249,0.01048644051228321,10.559412956237793,1907.9175785752013,0.011284112317165237,5.5992751121521,1566.2968823129777,0.6001571116783024,0.8143709264684306,0.2642743983880191,-0.21421381479012808,0.3,0.9784540229542223,4.656092889781662
PRISM_lens_BR_000034,5,3.3938203003609506,1.165580330910717,0.4322169016290724,0.1848989570398534,0.0610001799946233,3.0311214992505073,0.025278394392641877,5.7227935791015625,601.6063538012095,0.02451341090422887,5.256587028503418,586.599271859508,0.013017694030850456,12.82309341430664,1379.452512063086,0.012080379023530523,7.141034126281738,920.1052023814991,0.4613126797447086,0.9009858500824132,0.4887399167537018,-0.4396731703377046,0.6566025470247553,0.32064420384327236,3.32724121865199
