name,n_bands_available,f115w_available,f115w_sum,f115w_max,f115w_mean,f115w_std,f150w_available,f150w_sum,f150w_max,f150w_mean,f150w_std,f277w_available,f277w_sum,f277w_max,f277w_mean,f277w_std,f444w_available,f444w_sum,f444w_max,f444w_mean,f444w_std,notes
COSJ100120+015538,4,Yes,208.49,0.9423,0.002317,0.038151,Yes,141.91,0.9682,0.001577,0.032627,Yes,204.93,0.7758,0.002277,0.024295,Yes,204.24,0.6332,0.002269,0.023697,
COSJ100120+015834,4,Yes,299.95,1.5592,0.003333,0.035802,Yes,500.61,1.5471,0.005562,0.035309,Yes,925.19,1.7958,0.01028,0.064472,Yes,1342.23,6.2633,0.014914,0.154182,
COSJ100120+021646,4,Yes,11299.96,22.1684,0.125555,0.562831,Yes,15589.33,35.9638,0.173215,0.838452,Yes,19732.87,41.1714,0.219254,1.022369,Yes,11592.48,18.2621,0.128805,0.535865,
COSJ100120+022426,4,Yes,208.65,1.0327,0.002318,0.033771,Yes,306.11,1.2794,0.003401,0.037135,Yes,590.75,1.6059,0.006564,0.047342,Yes,471.07,1.05,0.005234,0.041785,
COSJ100120+022435,4,Yes,51.79,0.3986,0.000575,0.0258,Yes,142.94,0.7243,0.001588,0.025421,Yes,391.51,1.6914,0.00435,0.033828,Yes,505.76,2.9139,0.00562,0.058105,
COSJ100121+020944,4,Yes,3127.77,26.2072,0.034753,0.302315,Yes,4399.6,40.2999,0.048884,0.454898,Yes,6297.76,40.9282,0.069975,0.655335,Yes,4468.19,25.9154,0.049647,0.476922,
COSJ100121+022213,4,Yes,42.94,0.4998,0.000477,0.022571,Yes,81.72,0.6504,0.000908,0.021308,Yes,132.4,0.7769,0.001471,0.021614,Yes,169.99,0.7769,0.001889,0.025435,
COSJ100121+022740,4,Yes,5153.82,56.6456,0.057265,0.590702,Yes,7057.94,74.7937,0.078422,0.825569,Yes,8522.74,45.2407,0.094697,0.842176,Yes,4572.74,17.7646,0.050808,0.396416,
COSJ100122+015013,4,Yes,127.48,0.6674,0.001416,0.031035,Yes,150.17,0.874,0.001669,0.030432,Yes,371.92,1.0201,0.004132,0.038254,Yes,569.54,1.5683,0.006328,0.056666,
COSJ100122+022132,4,Yes,705.38,1.0202,0.007838,0.043428,Yes,976.53,2.9288,0.01085,0.058022,Yes,1206.09,5.0827,0.013401,0.088738,Yes,1131.94,5.7012,0.012577,0.115487,
COSJ100122+022144,4,Yes,108.27,0.8566,0.001203,0.025799,Yes,200.8,1.6958,0.002231,0.029891,Yes,375.93,2.9212,0.004177,0.050767,Yes,457.66,3.5486,0.005085,0.072185,
COSJ100123+015608,4,Yes,152.81,1.3456,0.001698,0.036996,Yes,174.79,1.3679,0.001942,0.033581,Yes,309.45,1.124,0.003438,0.029452,Yes,348.83,0.9237,0.003876,0.030665,
COSJ100123+022005,4,Yes,263.99,0.6746,0.002933,0.039763,Yes,434.24,0.76,0.004825,0.03645,Yes,1493.7,1.4695,0.016597,0.052355,Yes,2178.78,3.4641,0.024209,0.099161,
COSJ100124+021640,4,Yes,617.52,14.3492,0.006861,0.153214,Yes,1079.95,20.5567,0.011999,0.220977,Yes,1638.05,20.3807,0.018201,0.292175,Yes,868.82,7.0468,0.009654,0.129848,
COSJ100124+022027,4,Yes,925.42,2.6311,0.010282,0.072661,Yes,1037.05,2.9534,0.011523,0.080768,Yes,1586.9,3.4643,0.017632,0.109916,Yes,1184.15,1.8973,0.013157,0.074352,
COSJ100124+022319,4,Yes,1314.79,2.3601,0.014609,0.090337,Yes,2007.54,3.1048,0.022306,0.114432,Yes,2685.59,2.9426,0.02984,0.147014,Yes,2293.41,4.2528,0.025482,0.148923,
COSJ100125+020326,4,Yes,1008.69,19.2551,0.011208,0.147697,Yes,1363.26,21.7449,0.015147,0.170197,Yes,1974.02,13.8217,0.021934,0.214986,Yes,1665.9,6.7934,0.01851,0.150564,
COSJ100127+022709,4,Yes,3147.9,15.5485,0.034977,0.243879,Yes,3939.56,19.6212,0.043773,0.307065,Yes,3455.61,10.5392,0.038396,0.240459,Yes,2131.54,4.3731,0.023684,0.130456,
COSJ100128+021853,4,Yes,63.12,0.5993,0.000701,0.035439,Yes,69.33,0.7583,0.00077,0.031527,Yes,165.61,1.2386,0.00184,0.031612,Yes,232.9,1.8137,0.002588,0.042961,
COSJ100128+021951,4,Yes,989.39,46.9975,0.010993,0.230732,Yes,1152.44,34.08,0.012805,0.228011,Yes,1943.12,7.1962,0.02159,0.177738,Yes,2199.78,5.9752,0.024442,0.164926,
