LP_zfinal,LP_mass_med_PDF,Reff_kpc,structural_type,nsersic_f277w,rearc_f277w,mag_f277w
1.3674,11.3,4.288348702700382,Elliptical,4.631766237304325,0.5094480473596633,19.284516268316175
1.252,10.89796,2.0341674012858193,Elliptical,2.849040252336077,0.2438631933506918,20.35213289693106
0.9487,11.24431,9.577705462537239,Elliptical,4.067748746271909,0.6940762434312979,18.913986608973712
0.4589,10.65002,2.7968083220754982,Elliptical,6.011542122170085,0.368604647511821,18.68049966528465
0.94,11.14997,3.538079886291642,Elliptical,4.548282947398945,0.3904655119472439,18.963587887087645
0.7265,11.5,7.298652856922931,Elliptical,5.308150975607822,1.1755672400625068,17.9135247877513
0.5771,10.3997,11.000767717695084,Elliptical,8.852155311119548,1.1785789477805193,21.339497987249565
0.3803,11.05,3.3211335648746005,Elliptical,3.841390828639324,0.4584695534056345,18.07918121772345
0.8902,10.94986,4.728494837265775,Lenticular,3.140282376369838,0.5708816970076248,19.43535070537127
1.6894,10.79433,2.3392750173997494,Lenticular,2.079439555369267,0.2762835527805289,20.834306171922776
2.0209,11.1,0.9684300861227461,Elliptical,3.3099714503140207,0.1158246755879007,21.25335019802336
0.36,10.50001,2.690175886921171,Elliptical,4.235715067024746,0.4712688395722582,18.749588415411935
2.4486,10.39627,4.506230102929843,Spiral,0.9037952018910054,0.5558033175183338,21.100467018086775
0.6001,10.99999,3.092223715808615,Elliptical,3.067613744487735,0.3193252182342178,18.64989799714957
0.893,11.44129,5.5205621754269325,Elliptical,6.738665358659483,1.0527129625363278,18.01578354983352
0.9587,10.4234,7.780021833743345,Spiral,0.7701202240649884,0.789993410880817,19.855103484352625
0.3707,10.81851,2.7115031614986718,Elliptical,2.6198881212772935,0.4410159441365752,18.330763462803432
0.3004,10.3498,1.552244034099628,Elliptical,3.6092450697483063,0.238464543101878,19.025560294710388
0.9298,10.44511,3.857837072437399,Lenticular,1.4751709506240325,0.4122363343586317,20.54607646695152
1.1063,9.86934,3.136008359359754,Spiral,1.1957236668915074,0.3832912086049028,21.861173005659705
1.6548,9.73248,2.910466687023521,Spiral,0.7447659804198853,0.3435998007742594,21.688693731075546
1.7579,10.91728,1.9718469337401294,Elliptical,6.845479923652064,0.2332171898205124,20.976311005311473
1.0592,9.64953,3.9725796500783566,Spiral,1.096008900367299,0.4897313023359723,22.386496801825643
1.6232,10.9,2.043819889897029,Elliptical,3.5685337606689997,0.2412381271148537,20.14498848650777
0.603,9.50481,2.513663437821594,Spiral,1.5990610591621055,0.3267174057723872,21.72451930761063
2.876,10.36622,15.363931533585463,Elliptical,3.623487146929485,1.9703859442218947,22.342936707515474
0.516,9.9507,3.4929308840569995,Spiral,0.6658622454965668,0.5355167468674706,20.822144457925617
0.7425,11.15,5.600740142808197,Elliptical,4.486424963205705,0.8567425473407441,18.296914757001897
0.9704,10.29911,3.125516215574576,Spiral,1.020302293307104,0.2929609786613817,20.710918701221303
0.3602,10.75,2.6930895290886467,Elliptical,6.209208271273623,0.4468732642695444,17.885548711063883
0.7158,10.35001,1.7290657417181001,Elliptical,2.9325972262644315,0.1824158826185654,20.31683487655679
1.6661,10.36871,5.228797046601214,Irregular,0.4916781864210485,0.6173651388785885,21.248597652987584
3.1692,10.48781,3.486523648707496,Spiral,0.4735236863004873,0.4524721317853591,23.273910959050177
1.3635,9.70862,4.755942557665335,Spiral,0.7297513562292954,0.5651291593076947,21.228528054778728
1.498,10.10019,1.44628356553342,Spiral,1.0655666457130004,0.1709103003305168,21.824078741117667
0.4454,11.0443,2.970555783742205,Elliptical,3.96052260142646,0.4760784762023777,18.393561353319782
0.5127,11.09951,3.3823344974484133,Elliptical,5.831803230232977,0.4858285574827137,18.4383917591893
1.6261,9.78234,2.8274805096914415,Spiral,0.9650572331555314,0.3337394826460413,22.21712601850522
0.2099,10.03917,1.584072663036782,Elliptical,2.5356683962058635,0.3872593602605876,18.367547998424534
0.2761,9.91928,2.8533884433503207,Spiral,1.4252082290107364,0.549806301306173,19.367862926707954
1.2101,9.50013,0.5922353979744099,Lenticular,1.7168495820219087,0.0713234600468639,21.693154683670016
2.3663,10.26685,3.157466750173227,Spiral,0.6440232988023463,0.3868203024334421,22.65026931615468
0.6598,10.65002,1.6757671131975815,Elliptical,2.708231085483703,0.2058220090127417,19.35756537221351
1.5728,11.35161,3.0872484337050765,Elliptical,2.5931648375585707,0.3644246342302142,19.571584396067387
1.1901,10.46647,5.143347017738589,Spiral,0.8851745742292516,0.6209323417796095,20.209523831304892
2.1484,11.14999,1.446871280378669,Elliptical,2.899612970157339,0.1744192777410867,21.177781138958423
0.3671,10.45,2.350827103552935,Elliptical,4.055788831876897,0.2305842153791993,18.341797133833666
0.2409,11.25139,4.7884974314081195,Elliptical,3.1153451897179045,1.8261696917439736,16.883403485853716
0.86,9.81162,4.135623601516397,Elliptical,3.368401795830869,0.3608235168452533,20.3764997143603
0.9907,10.99964,4.452615389600709,Lenticular,2.4301027842593306,0.4959933527866448,19.418028447273137
1.2339,9.77354,6.015967336936398,Lenticular,2.11021414987333,0.7225711456286186,22.628498463946404
0.9449,10.41762,3.9473343570370676,Irregular,0.8268465158473872,0.3982740809306202,19.663717797093096
0.8119,10.91293,3.189457925746039,Elliptical,4.868419576245853,0.3875678978316064,18.740349406898673
1.1825,9.97272,3.301308191974583,Elliptical,2.797623226312539,0.3989405417524311,22.062986383623723
0.657,10.10017,4.551390395070606,Spiral,0.9388351653135454,0.5517126986289609,20.121894992526556
0.9442,10.8122,2.6240124486564684,Elliptical,3.65513822012784,0.2187366584509175,19.825431379277184
0.5752,9.77341,2.768669595778385,Lenticular,1.4778293778279326,0.3251188991486889,20.50948242133854
1.252,9.50925,3.497741064992816,Elliptical,2.641312101016589,0.4193215883234713,22.65338959955136
1.6746,9.91677,4.893441337863722,Spiral,0.8739831755213533,0.5778281827822779,21.305652768098653
1.169,9.79597,3.4197285276772607,Spiral,1.044774432596499,0.4139951445913551,22.127348024722735
0.9982,9.85591,4.364675051791349,Spiral,1.053702828196469,0.5337259821976954,21.87114146143857
2.0379,9.56337,2.8255396923155267,Spiral,0.7580044631365168,0.3382653492734332,22.421552103623128
0.4755,11.14065,9.070682805900935,Elliptical,2.69516828646648,1.239513736519377,17.836875232366268
1.4046,10.95,2.880503158131705,Elliptical,4.6526407609390805,0.3415178849366416,20.03444572423541
0.9301,9.85016,3.994127126478277,Spiral,0.9102925547914864,0.447752213128098,20.995293920919497
1.4066,9.65166,3.1102859676548023,Irregular,0.4659864119431708,0.3687261895221364,21.48350025058101
0.7025,9.8048,1.8416416349716949,Elliptical,3.8661164285216167,0.2510014084181875,21.39899367330713
2.1768,10.28099,4.049473207938194,Spiral,0.7256915989535069,0.489104958356498,21.916568644088287
0.3321,10.17976,3.363484613652544,Spiral,1.020578003046315,0.5946018892265336,19.04404440281026
0.9983,10.95,2.2553585985181437,Elliptical,2.4043594601481746,0.2351383108068833,19.360403272313263
1.3827,10.09147,4.1022161765407805,Spiral,1.102147190471749,0.4869122857862911,21.78689776467679
0.9196,11.45,7.801841045158216,Elliptical,8.554373635082008,0.9056457573077924,18.00980730572969
0.6159,10.19917,3.6334207527209283,Lenticular,1.303477029048601,0.5007969213820553,20.560320535186182
2.7093,11.03021,3.2715999215088027,Lenticular,1.830287838602651,0.4129812252086232,21.953842471260696
2.9269,10.77801,7.843336862170095,Spiral,0.9486392362703568,1.010882540463944,21.856446880022244
1.5602,9.62787,1.7210996364927187,Lenticular,1.7100753049529709,0.2031820530548514,22.720297362546233
0.7201,11.06475,3.8410286272624647,Elliptical,3.782425993424362,0.4723368776528897,18.58575668174527
0.899,10.30823,4.530055734300618,Spiral,1.205314189545976,0.510272776637641,20.392327041040677
1.1583,10.44935,4.183924453078484,Elliptical,6.2303872504435605,0.5072637799186318,21.18172553431903
0.5195,9.70397,4.486456089394222,Spiral,1.1161379378139742,0.724393713507955,20.718013815442415
0.9983,10.35509,2.7317265890026965,Lenticular,1.3092397152114812,0.2484918650662589,20.92270875739576
0.8767,9.80431,5.868749649200536,Irregular,0.5979962283440994,0.6606900851164733,21.394126357534645
1.1792,11.3,2.7864361510423814,Elliptical,5.033481116026622,0.3368672441346556,19.032190745289963
1.1814,10.0321,3.3706187979445676,Spiral,1.3058260412357956,0.4073746723743814,21.64723658905985
0.9505,9.8755,4.374955351727881,Irregular,0.9877772573273936,0.4823185234576198,20.708811554734048
0.6359,9.62954,3.810755369669124,Spiral,0.9813022588868864,0.4538471300840419,21.204264351017542
0.9361,9.9119,4.693983546155747,Lenticular,1.8240209787010784,0.6019172190854513,21.47094240009115
0.8,11.2,2.531819768858163,Elliptical,5.0521953509886695,0.3566307874740289,18.915622717101755
1.5263,11.06283,3.5299996210165734,Elliptical,7.893513986100691,0.416911707457205,19.892928687855584
1.3785,9.52166,3.796051463439245,Spiral,1.4746786637556826,0.4506764139245849,22.64713316984411
0.644,9.61066,5.640571868900281,Lenticular,1.8615003124259544,1.4307270394892713,22.011525490492943
0.9731,10.17532,3.958924033480777,Spiral,1.0844044345468076,0.3342684948117049,20.542586741651935
0.6409,10.05001,2.292158100713194,Lenticular,1.3870010660449763,0.2816032411364411,19.77853963306908
0.6186,10.20063,6.6519344137038185,Elliptical,8.99062714923854,0.4322370392787488,19.42765529617754
2.3876,10.23422,2.5328936417375276,Spiral,0.9452183077656224,0.3108382070294681,22.292691518262917
1.1998,9.78773,2.002745524718534,Lenticular,2.055630755501322,0.2414905802104964,21.701136741773333
1.9303,9.77955,2.8925099656778044,Spiral,1.1184993489109578,0.3443135448269006,22.601243259520693
1.661,9.79954,1.8081921162182457,Spiral,1.0309109888512369,0.2134819169498792,22.527225874309668
1.5644,10.85763,3.469513746424787,Spiral,1.3542354179160958,0.4095735812653347,20.9185761400345
