sample,A,A_err,alpha,alpha_err,r_squared,n_bins,median_mass
COWLS,0.45754942888953665,0.1333536134093428,0.01893322623054064,0.2768406766994155,0.09458726319084965,3,10.239545
COWLS Early-type,0.42927622437888185,0.11877920233805306,-0.04255146586067052,0.2511075032731417,0.3923064440882932,3,9.85015
COWLS Late-type,0.5370434434044145,0.15384497879599413,0.15360953749774595,0.2861495009013122,0.8224528983502475,3,10.842305
CWMGs,0.49821993582285495,0.04091735631206649,0.5851706528926724,0.06526544313145724,0.9458849676746339,10,9.515165
CWMGs Early-type,0.5424629927010917,0.0398127804494767,0.6773253838442947,0.06338570247010179,0.9596516185602565,10,9.45219
CWMGs Late-type,0.31542201268243825,0.044677760258769,0.26842651841194837,0.07157572297101499,0.7380212736762437,10,10.051745
