LP_zfinal,LP_mass_med_PDF,Reff_kpc,nsersic,rearc_arcsec,mag,best_filter
0.6265,10.37764,7.64060908974797,3.902202765833334,1.1206145758212764,20.394151469730858,f150w
1.4104,10.09869,4.46677453488045,1.1102220211703395,0.5294443955558671,21.47187743906589,f277w
1.4373,10.73272,3.206061489375494,1.2103884454637872,0.3795782181171437,20.620729012805853,f277w
0.9981,10.39945,0.7191881628910654,5.04865781631484,0.0898412180956343,21.382176939556913,f150w
1.4908,10.94879,2.9919873706358886,1.334970252556185,0.3536308365528204,19.840241011244245,f277w
2.4621,11.18632,3.7865442741340862,1.4513199244390649,0.4675684873085355,22.053132148129915,f277w
0.9703,10.5366,1.6391391796608323,3.0056273755083818,0.206177859135724,20.84667958094153,f150w
2.3527,10.06879,2.6337679301916097,0.4014760416752513,0.3223117625738983,22.914337201224747,f277w
1.2203,10.70068,1.995989681236082,2.35010288788217,0.2400960795683324,20.78395052212775,f277w
1.6294,10.38448,3.303899960841789,0.5014100288102675,0.389978776732777,21.619489565816803,f277w
0.3542,10.29879,0.9676934146983072,2.6047665727939187,0.1943906496899914,20.982496752609528,f115w
0.3657,10.65175,3.281688132485482,0.3688055235970653,0.645857054965689,19.741938351870974,f115w
0.35,10.65018,2.0457443255204693,2.6112408075453337,0.4141374108029959,18.6909765043564,f115w
0.3499,10.79992,3.342882495346455,7.724121310097371,0.6768537258168066,18.33621324613737,f115w
0.5354,10.38107,4.526442196155843,1.2575103088612918,0.7155886526075362,20.50761055534263,f150w
1.4612,10.66181,1.985516736653758,0.9168302034971264,0.2348730716114683,21.26704957676877,f277w
2.4041,10.44458,4.811691211674791,3.3353871995992996,0.5912897423027441,22.437019947092175,f277w
2.4519,10.00481,3.0532923975950146,0.8367866396571576,0.3767009488045112,23.4278286849776,f277w
1.1914,10.59761,0.7188803683701382,3.497228214611579,0.0867728314534174,20.886955332307892,f277w
1.6452,10.99042,2.5557286021382386,0.625628809777473,0.3016964662733002,21.258247828734397,f277w
1.0756,10.99844,2.7218657959243298,1.814566917400519,0.334493205981736,20.12748072085206,f277w
0.8816,10.10223,0.5390606103013366,4.019658447029564,0.0696071424261521,22.035748035587662,f150w
3.4718,10.05801,1.859254149138251,0.8261136012958362,0.2531920453255392,23.29303662116036,f444w
2.2707,10.32634,3.96150865292418,1.0070693687921992,0.4817313614789953,22.232206568956904,f277w
1.1882,10.89948,3.034357443136931,6.020444623428465,0.3664122792562135,20.222532529232737,f277w
0.3296,10.34985,2.978939215668519,1.9412869960057852,0.6273610765835754,19.434498422063825,f115w
1.2027,10.00032,2.3114008105762025,1.6457953601092314,0.2786099328217051,22.247249277997422,f277w
0.3532,10.29331,1.9391775514799026,3.460567520671592,0.3902553280200874,19.621097998163545,f115w
1.8536,10.45,1.9605401697744058,7.765431476822164,0.2326021741373017,21.928842686271793,f277w
1.6314,10.53575,1.4230334906455282,5.699743479670616,0.1679706261058863,21.540796908263463,f277w
1.2998,11.07211,1.7594062605277103,1.4628775097021034,0.2100098607009756,20.247653879297623,f277w
1.074,10.24116,1.6581616987964132,0.6170311222843362,0.2038344055625083,21.00458035990846,f277w
1.634,10.34726,1.5722588745449468,2.056221408721834,0.1855872488145886,22.374635581506812,f277w
0.6635,10.7,3.7807601924081826,5.819209739989486,0.5408588999358038,19.931602887134886,f150w
0.3575,10.8482,2.5868139550802782,2.696821565207261,0.5165431283536163,18.66582399659778,f115w
0.9434,10.44992,1.7628370078583535,6.223896663946371,0.223348182623057,21.176115549408213,f150w
0.1524,10.79926,2.3662326869366144,0.8480770622183983,0.8932029396314981,18.887136345797636,f115w
0.3159,10.34002,4.108871190956144,0.4949337076597692,0.8903814737561643,19.635474369409472,f115w
3.6252,10.06786,2.2401222994609657,2.1047137856109788,0.3099331278199025,23.648103545435077,f444w
2.4825,10.21502,1.0665492112171964,2.530621915033047,0.1319278582633665,23.18884923535767,f277w
