z_min,z_max,z_center,alpha,alpha_err,beta,beta_err,r_squared,n_lenses
0.2,0.5,0.35,5.390202917698248,1.4204537463559,-5.112053132328423,1.451231807784991,0.25086830055534226,45
0.5,1.0,0.75,2.7796420501954837,0.7969932013011275,-2.3985610504118626,0.8117917982834353,0.07789116330648893,146
1.0,1.5,1.25,0.428879327532556,0.8980191353344619,-0.0021887074377642257,0.9063023316873172,0.002842985008327026,82
1.5,2.0,1.75,-0.1821204783547365,1.705625661074172,0.6084056141369267,1.733848643994149,0.0002779995214055031,43
2.0,2.5,2.25,-3.4753667988526535,2.5069664651251236,3.968512044943264,2.545536289335284,0.0964663999978903,20
